Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Everlaw,"Everlaw provides advanced ediscovery software designed to simplify complex legal work for law firms, corporations, and government agencies.",Everlaw Platform,"Everlaw is a cloud-native ediscovery platform that offers advanced analytics, machine learning, and collaboration tools for legal professionals.","Litigation, Disputes & Investigations","Ediscovery,Early Case Assessment,Legal Holds,Trial Preparation,Internal Investigations",Simplifies complex legal work through advanced ediscovery tools and automation.,Corporate legal; Private practice; Government / Public Sector,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Australia,Yes,Predictive / Machine Learning (ML) Platforms; Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,Subscription (SaaS),Demo Available,Mainstream / Proven,Easy,Cloud (SaaS),Other / Not Specified,English only,United States,"United States, United Kingdom, Canada, European Union, Australia",,,SOC 2 (Type I or II),,,,https://www.everlaw.com,1 (844) EVERLAW (383-7529)
FilePro,"FilePro provides all-in-one legal practice management software with various hosting options to support growth, staff, and client experience.",FilePro,"All-in-one legal practice management software with client and matter management, document management, time management, accounting, automation, and workflows.","Matter, Workflow & Intake Management","Client and Matter Management,Document Management,Time Management,Accounting,Automation and Workflows","Provides comprehensive management tools for legal practices to enhance growth, staff, and client experience.",Corporate legal; Private practice,,,No,,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"Suite 10, 2 Queensgate Drive, Canning Vale WA 6155",,Other,,,,,,https://www.filepro.com.au,Email: [email protected]
Gatekeeper,"Gatekeeper is a unified platform for contracting, managing third-party compliance & spend, powered by AI.",Gatekeeper,"Gatekeeper is a platform for contract lifecycle management, vendor lifecycle management, and third-party compliance, powered by AI.",Contracting & Document Automation,"Contract Lifecycle Management,Vendor Lifecycle Management","Reduces vendor risk, accelerates contract processes, and optimizes spend management.",Corporate legal; Legal Operations Professionals; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,,,,,,,,Gatekeeper is highly rated for its contract management capabilities.,,https://www.gatekeeperhq.com,
Harvey,"Harvey provides domain-specific AI solutions for law firms, professional service providers, and the Fortune 500, focusing on document analysis, workflow automation, and legal intelligence.",Harvey AI,"Harvey AI is a domain-specific AI platform designed to assist with legal document analysis, workflow automation, and legal intelligence.",AI Legal Assistants & Productivity Tools,"Document analysis,workflow automation,legal intelligence",Streamlines legal document analysis and workflow processes using AI.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Australia,Yes,Domain-Specific or Proprietary AI Engines,,,Demo Available,Growing Adoption,,Cloud (SaaS),Professional Services,,,,,,,,,,https://www.harvey.ai,
iManage,"iManage is a knowledge work platform that helps organizations manage documents and emails more efficiently, protect vital information assets, and use knowledge to drive better business outcomes.",iManage Platform,The iManage Platform is a cloud-native knowledge work platform that enhances productivity and mitigates risk with AI built-in natively.,"Knowledge, Search & Precedent Management","Document & Email Management,Security & Governance,Risk & Compliance,Legal Transaction Management,Task & Workflow Management","Improves productivity, protects information assets, and uses knowledge to drive better business outcomes.",Corporate legal; Private practice; Compliance & Risk Teams,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,Multi-Region / Distributed Cloud,,Demo Available,Mainstream / Proven,Moderate,Cloud (SaaS),Corporate,,,,Other,,,,,,https://www.imanage.com,
Immediation,"Immediation is an Alternative Dispute Resolution (ADR) case management platform that forms part of the ADR Technology portfolio. It provides tools for managing mediation, arbitration, and adjudication processes.",Immediation Platform,"A comprehensive case management system for mediation, arbitration, and adjudication, offering tools for case management, automated intake, panel management, and financial management.","Litigation, Disputes & Investigations",Alternative Dispute Resolution (ADR) case management,"Simplifies and automates the management of mediation, arbitration, and adjudication processes.",Alternative Legal Service Providers (ALSPs); Litigation / Disputes Teams,Advanced,North America (US & Canada); Europe (UK & EU); Australia,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Professional Services,English only,"Sydney and Perth, Australia","First Floor, 35 Richardson Street, West Perth, WA, 6005",,,,,,,https://www.immediation.com,hello@immediation.com
InfoTrack,"InfoTrack provides purpose-built, award-winning technology for legal, conveyancing, and other professional services, focusing on innovation and efficiency.",,"InfoTrack offers a range of solutions including client onboarding, identity verification, contract review, settlement services, and more, with a focus on AI-assisted precision and integration with existing workflows.",Contracting & Document Automation,,Improves operational efficiency and accuracy in legal and conveyancing processes through automation and integration.,Corporate legal; Private practice,Enterprise-grade,Australia,Yes,Natural Language Processing (NLP) / Text Analytics,Australia,,,,,Cloud (SaaS),Corporate,English only,Australia,,,ISO 27001; ISO 9001,,,,,https://www.infotrack.com.au,Get in touch with a member of our team
Josef,"Josef provides legal AI tools for contract automation, workflow automation, and AI Q&A, helping legal teams automate processes and improve efficiency.",Josef Q,"Josef Q is a no-code platform for creating automated Q&A, contract generation, and workflow tools, enabling legal teams to automate processes and improve efficiency.",Contracting & Document Automation,"AI Q&A,Workflow Automation",Automates legal processes to reduce repetitive tasks and improve efficiency.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Conversational / Copilot Layer; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://www.joseflegal.com,
Law In Order,"Law In Order is a leading provider of end-to-end document and digital solutions, specializing in legal, government, and corporate industries.",SmartBundle,"SmartBundle is a secure AI-powered platform for organising, managing, and presenting legal materials.","Litigation, Disputes & Investigations","eDiscovery,Document Review,eHearings",Streamlining legal document management and review processes.,Corporate legal; Government / Public Sector,Advanced,Australia,Yes,Natural Language Processing (NLP) / Text Analytics,Australia,Subscription (SaaS),Demo Available,Market Leader / Standard,Easy,Cloud (SaaS),Corporate,English only,"Sydney, Australia","Sydney, Brisbane, Melbourne, Perth, India",,,,,Positive feedback on efficiency and professionalism.,,https://www.lawinorder.com.au,Contact Us page available on the website.
Lawcadia,"Lawcadia is an award-winning end-to-end legal operations platform that helps corporate and government legal teams achieve greater efficiency, visibility, and control.",Lawcadia,"An intelligent end-to-end legal operations platform purpose built for in-house legal teams, enhancing collaboration, project management, and accountability.",Legal Operations & Analytics,"Matter Management,Spend Management,Reporting & Analytics","Streamlines intake, triage, workflows, and approvals while maintaining oversight of budgets, law firm engagements, documents, and emails.",Corporate legal; Government / Public Sector,,,Yes,AI Integration / Orchestration Layer,,,Demo Available,,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.lawcadia.com,
Lawpath,Lawpath is an online legal service that makes it faster and easier for businesses to access legal solutions solely based on their own preferences.,Lawpath AI,"Lawpath AI provides clear and concise explanations of legal documents, analyses and provides valuable insights, and generates clauses for legal documents.",Contracting & Document Automation,"AI-Powered Document Insights,eSignature,Contract Management","Simplifies and automates the creation and management of legal documents, providing insights and guidance.",Corporate legal; Private practice; Legal Operations Professionals,Advanced,Australia,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Demo Available,Growing Adoption,Very Easy,Cloud (SaaS),Corporate,English only,,,,,,,"10,000+ 5-Star Reviews",,https://lawpath.com.au,1800 529 728
LawVu,"LawVu provides a legal workspace that centralizes legal work, including matter management, contract management, spend management, and more, with AI-powered features.",LawVu Legal Workspace,"A comprehensive legal workspace that centralizes legal work, including matter management, contract management, spend management, and more, with AI-powered features.","Matter, Workflow & Intake Management","Contract management,Spend management,Document management",Centralizes legal work to improve efficiency and productivity with AI-powered features.,Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"26-28 Wharf Street, Tauranga 3110, New Zealand","26-28 Wharf Street, Tauranga 3110, New Zealand",,,,,,,https://lawvu.com,"26-28 Wharf Street, Tauranga 3110, New Zealand"
LEAP Legal Software,"LEAP Legal Software provides a cloud-based legal practice management solution that integrates document management, legal accounting, and legal publishing.",LEAP,"LEAP is a cloud-based legal practice management software that integrates document management, legal accounting, and legal publishing.","Matter, Workflow & Intake Management","Document management,legal accounting,and legal publishing","Provides an integrated solution for managing legal practice, including document management, accounting, and publishing.",Private practice,Enterprise-grade,Australia; New Zealand,Yes,Natural Language Processing (NLP) / Text Analytics,Australia,Subscription (SaaS),Demo Available,Mainstream / Proven,Easy,Cloud (SaaS),Corporate,English only,Australia,,,,,,,,https://www.leap.com.au,sales@leap.com.au
LexisNexis,"LexisNexis is a provider of legal, regulatory, and business information and analytics that helps advance the rule of law around the world.",Lexis+AI ,"Lexis+ AI helps lawyers research, draft, and summarise legal information faster, using AI trained on authoritative LexisNexis content rather than open web data.",AI Legal Assistants & Productivity Tools,"Legal research and workflow enhancements,Document Management",Enhances legal research efficiency and workflow through AI integration.,Corporate legal; Private practice,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.lexisnexis.com/en-au,Call 1800 772 772
LexisNexis,"LexisNexis is a provider of legal, regulatory, and business information and analytics that aims to advance the rule of law around the world.",Practical Guidance,"LexisNexis Practical Guidance is an online solution that provides practically focused content and tools that Australian lawyers need to conduct new legal matters. Guidance, practice tips, legislation, legal precedents, cases, tools, and checklists are all in one place and span a lawyer’s entire workflow. ",Legal Research & Knowledge,Knowledge Management,Enhances legal research efficiency and provides personalized workflow enhancements.,Corporate legal; Private practice,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.lexisnexis.com/en-au,Call 1800 772 772
LexisNexis,"LexisNexis is a provider of legal, regulatory, and business information and analytics that helps advance the rule of law around the world.",Lexis Advance,"Lexis Advance is an online legal research platform that provides established and up-and-coming legal professionals quick access to trusted research from the LexisNexis library. The system is designed to promote efficiency and productivity through AI legal research algorithms, which can be customised to suit the user. An intuitive search function with deep links to an astounding depth of content will save you time and deliver better client outcomes.",Legal Research & Knowledge,"Legal research and workflow integration,Knowledge Management",Enhances legal research efficiency and workflow integration using AI.,Corporate legal; Private practice,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.lexisnexis.com/en-au,Call 1800 772 772
LexisNexis,"LexisNexis is committed to advancing the rule of law around the world, providing legal AI solutions to enhance efficiency and ensure data security.",Lexis Argument Analyser ,"
Lexis Argument Analyser can fast-track a lawyers work. Simply upload a legal document and Argument Analyser will comb through LexisNexis’ vast caselaw database to return curated case recommendations, downloadable authorities, citation analysis, and a map of the salient legal issues in your document.

These results are presented in one secure and dynamic dashboard, where you can cross-check risks and opportunities without relying solely on prior knowledge or experience. You may even analyse your opposing counsel’s submission and be better prepared to mitigate risks.","Litigation, Disputes & Investigations","Legal research and workflow enhancements,AI Legal Assistant / Copilot","AI-based mapping of issues, citations, and case links for litigation preparation.",Corporate legal; Private practice,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.lexisnexis.com/en-au,Call 1800 772 772
LexisNexis,"LexisNexis is a provider of legal, regulatory, and business information and analytics that aims to advance the rule of law around the world.",MLex,"In an increasingly complex regulatory world, MLex helps organisations stay ahead by delivering unbiased legal news and predictive analysis on the proposals, investigations, and rulings that impact their business.","Compliance, Risk & Governance",Legal research and workflow integration,"Organisations struggle to track and interpret fast-moving global regulatory developments, making it difficult to anticipate risks and respond to enforcement actions before they affect the business.",Corporate legal; Private practice,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.lexisnexis.com/en-au,Call 1800 772 772 to contact a LexisNexis expert.
LexisNexis,"LexisNexis is committed to advancing the rule of law around the world, providing legal AI solutions to enhance efficiency and ensure data security.",Lexis+,"Traditional legal research interface for cases, legislation, and commentary.",Legal Research & Knowledge,,Enhances legal research efficiency and ensures data security and accuracy of outputs.,Corporate legal; Private practice,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,GDPR Compliance (EU),,,,https://www.lexisnexis.com/en-au,Call 1800 772 772
LexisNexis,"LexisNexis is a provider of legal, regulatory, and business information and analytics that aims to advance the rule of law around the world.",Lexis Create+,"Drafting, clause libraries and DMS integrations inside Word.",Contracting & Document Automation,AI Legal Assistant / Copilot,Enhances legal research efficiency and provides strategic counsel through AI-powered tools.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.lexisnexis.com/en-au,Call 1800 772 772
LexisNexis,"LexisNexis is a provider of legal, regulatory, and business information and analytics that aims to advance the rule of law around the world.",Regulatory Compliance,"Obligations mapping, alerts, and compliance workflow tools","Compliance, Risk & Governance",Legal research and knowledge,Enhances legal research efficiency and provides strategic counsel through AI-powered tools.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.lexisnexis.com/en-au,Call 1800 772 772
LexisNexis,LexisNexis is committed to advancing the rule of law around the world by providing legal AI solutions that enhance efficiency and provide strategic counsel.,Capital Monitor,Monitors government and legislative developments affecting transactions and policy.,"Compliance, Risk & Governance",Legal research and knowledge,Enhances legal research efficiency and provides strategic counsel through AI.,Corporate legal; Private practice,Enterprise-grade,Australia,Yes,Large Language Model (LLM) Platforms,Australia   ,Subscription (SaaS),"Free Trial,Demo Available",Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,GDPR Compliance (EU),,,,https://www.lexisnexis.com/en-au,Call 1800 772 772
Microsoft,,Microsoft 365 Copilot,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://www.microsoft.com,
Neota,"Neota provides a platform for creating powerful solutions tailored to individual needs, focusing on legal, compliance, and innovation roles.",Neota Platform,"Neota Platform allows users to create and deploy decision-making solutions to automate workflows, documents, decisions, and processes.",Contracting & Document Automation,,"Automates workflows, documents, decisions, and processes to improve efficiency in legal and compliance roles.",Corporate legal; Compliance & Risk Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,Growing Adoption,,Cloud (SaaS),Corporate,,,,,,,,,,https://www.neota.com,
NetDocuments,"NetDocuments is an intelligent document management system (DMS) platform that helps legal professionals automate routine tasks, streamline workflows, and collaborate on documents with AI built into the platform.",NetDocuments,"NetDocuments is a cloud-native document management system that helps legal professionals organize, secure, and collaborate on documents, with AI-powered automation and workflows.","Knowledge, Search & Precedent Management","Document Management,Legal AI & Workflow Automation","Automates routine tasks, streamlines workflows, and enhances document collaboration and security.",Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,Asia-Pacific (APAC); North America (US & Canada); Europe (UK & EU); Latin America,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,Multi-Region / Distributed Cloud,Subscription (SaaS),Demo Available,Market Leader / Standard,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Lehi, Utah","United States, United Kingdom, Germany, Australia, Canada",Azure,ISO 27001,GDPR Compliance (EU),,,,https://www.netdocuments.com,"NetDocuments, 2500 Executive Parkway, Suite 300, Lehi, Utah 84048"
NowInfinity,"NowInfinity is a platform for managing corporate compliance and legal documents, offering solutions like Corporate Messenger and Documentation Suite for entity creation and regulatory deeds.",NowInfinity,"A platform for managing corporate compliance and legal documents, including solutions for ASIC affairs and trust document creation.","Compliance, Risk & Governance",Corporate compliance and document management,Streamlines compliance and legal document creation for corporate entities.,Corporate legal; Legal Operations Professionals,,Australia,No,,Australia,Subscription (SaaS),Demo Available,Mainstream / Proven,Easy,Cloud (SaaS),Corporate,English only,Australia,,,,,,Positive feedback on efficiency and integration with Corporate Messenger.,,https://www.nowinfinity.com.au,
Nuix,"Nuix is a leading provider of investigative analytics and intelligence software, empowering customers to transform vast amounts of unstructured data into actionable insights with speed, scalability, and forensic accuracy.",Nuix Neo,"Nuix Neo is a highly customizable, solution-based platform designed to meet unique data challenges, offering core data processing, data privacy solutions, legal eDiscovery, and early case assessment capabilities.","Litigation, Disputes & Investigations","eDiscovery,Early Case Assessment,Investigations","Transforms vast amounts of unstructured data into actionable insights with speed, scalability, and forensic accuracy.",Corporate legal; Government / Public Sector; Legal Operations Professionals,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Domain-Specific or Proprietary AI Engines,,,,Mainstream / Proven,,Hybrid,Other / Not Specified,,,"11 offices globally across North America, EMEA, and APAC",,,"FedRAMP,Authorization (US)",,,,https://www.nuix.com,
"Onit, Inc.","Onit provides AI-native legal operations solutions, including enterprise legal management, contract lifecycle management, and workflow automation to streamline legal processes and drive efficiency.",Unity,"Unity is an AI-native framework for legal operations, providing solutions for enterprise legal management, contract lifecycle management, and workflow automation.",Legal Operations & Analytics,"Enterprise legal management,contract lifecycle management,workflow automation","Streamlines legal operations, reduces costs, and increases productivity through AI-native solutions.",Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Predictive / Machine Learning (ML) Platforms,,Subscription (SaaS),Demo Available,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,"100 Galleria Parkway, Suite 1030, Atlanta, GA 30339",,,,,,"Positive feedback from customers like Crocs, Instacart, and Jaguar Land Rover, highlighting ease of use and efficiency.",,https://www.onit.com,Contact form available on website
PEXA,"PEXA connects people, businesses and governments across the property ecosystem, delivering secure digital infrastructure, integrated solutions and actionable insights.",PEXA Exchange,An online conveyancing platform providing a streamlined and collaborative property exchange process.,"Cross-Border, Transactions & Deal Management",Property settlement platform,Streamlines and secures the property settlement process.,Corporate legal; Private practice,,Australia,No,,Australia,Usage-Based / Consumption,,Mainstream / Proven,Moderate,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.pexa.com.au,
Plexus,"Plexus provides AI-powered legal technology solutions, including contract management, matter management, and marketing compliance tools, designed to streamline legal processes and improve efficiency.",Plexus Legal Suite,"Plexus Legal Suite offers contract management, matter management, and marketing compliance solutions to streamline legal processes and improve efficiency.",Contracting & Document Automation,"Contract Management,Matter Management,Marketing Compliance","Streamlines legal processes, improves efficiency, and ensures compliance in contract and matter management.",Corporate legal,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,,The system has just sold itself to the business. It’s taking an average of 18 minutes for an agreement to be generated.,,https://www.plexus.co,
